user_id;channel_1;channel_2;channel_3;channel_4;conversions;duration
111055031627860;0.0;0.0;0.0;1.0;0.0;0
111055031695160;0.0;0.0;0.0;2.0;0.0;6
111055031755316;2.0;0.0;4.0;0.0;0.0;19
111055031800152;0.0;0.0;3.0;1.0;0.0;6
111055031928456;0.0;1.0;0.0;2.0;0.0;0
111055032084737;3.0;0.0;0.0;2.0;0.0;22
111055032220125;3.0;0.0;0.0;2.0;0.0;22
111055032461110;1.0;0.0;2.0;1.0;0.0;8
111055032512309;0.0;0.0;0.0;2.0;0.0;10
111055033016089;0.0;0.0;2.0;1.0;1.0;0
111055033045442;9.0;0.0;2.0;1.0;0.0;22
111055033058344;2.0;0.0;3.0;0.0;0.0;8
111055033366944;0.0;0.0;0.0;2.0;0.0;0
111055033520352;0.0;0.0;1.0;2.0;0.0;6
111055033573819;4.0;0.0;0.0;1.0;0.0;8
111055033686453;0.0;2.0;0.0;2.0;0.0;7
111055033802852;4.0;0.0;0.0;1.0;0.0;17
111055033944804;1.0;0.0;2.0;0.0;1.0;0
111055034002651;0.0;0.0;0.0;2.0;0.0;1
111055034373918;0.0;0.0;5.0;0.0;0.0;5
111055034377536;0.0;0.0;2.0;2.0;0.0;6
111055034403604;1.0;0.0;3.0;0.0;0.0;5
111055034680025;0.0;0.0;9.0;2.0;0.0;20
111055035793156;0.0;0.0;5.0;0.0;0.0;21
111055036038948;5.0;0.0;4.0;0.0;0.0;23
111055036149026;0.0;1.0;0.0;2.0;0.0;0
111055036361260;0.0;2.0;3.0;2.0;0.0;7
111055036688725;7.0;0.0;0.0;0.0;0.0;23
111055036733487;3.0;0.0;0.0;0.0;0.0;16
111055036831371;0.0;0.0;3.0;0.0;0.0;12
111055036865157;0.0;0.0;0.0;2.0;0.0;6
111055036890680;0.0;0.0;0.0;2.0;0.0;1
111055036937705;0.0;0.0;18.0;2.0;0.0;20
111055036976010;0.0;0.0;4.0;0.0;0.0;26
111055036994758;0.0;1.0;0.0;3.0;0.0;4
111055037098903;0.0;0.0;0.0;2.0;0.0;1
111055037299442;6.0;0.0;0.0;2.0;0.0;17
111055037357517;0.0;2.0;1.0;0.0;0.0;1
111055037431916;0.0;3.0;2.0;0.0;0.0;6
111055037798789;0.0;0.0;2.0;1.0;0.0;1
111055037995930;0.0;0.0;0.0;2.0;0.0;2
111055037997590;0.0;0.0;0.0;2.0;0.0;1
111055038627285;0.0;1.0;2.0;1.0;0.0;1
111055038669045;0.0;0.0;0.0;2.0;1.0;0
111055038711430;0.0;0.0;4.0;2.0;0.0;11
111055039075619;0.0;0.0;0.0;2.0;0.0;2
111055039117843;0.0;0.0;1.0;0.0;0.0;0
111055039197424;0.0;3.0;5.0;0.0;0.0;22
111055039316370;0.0;0.0;13.0;0.0;0.0;20
111055040055452;0.0;0.0;0.0;2.0;0.0;0
111055040059140;0.0;1.0;0.0;1.0;0.0;7
111055040717280;0.0;0.0;3.0;0.0;0.0;3
111055040954690;0.0;0.0;4.0;2.0;0.0;9
111055041117527;0.0;0.0;0.0;2.0;0.0;0
111055041164526;11.0;0.0;0.0;0.0;0.0;23
111055041242061;0.0;0.0;3.0;0.0;0.0;9
111055041380605;1.0;0.0;0.0;0.0;0.0;0
111055041773274;0.0;0.0;8.0;1.0;0.0;8
111055041955217;0.0;0.0;0.0;1.0;0.0;0
111055042062123;0.0;0.0;0.0;2.0;0.0;9
111055042187524;0.0;0.0;3.0;2.0;0.0;7
111055042403365;3.0;0.0;3.0;2.0;0.0;23
111055042589452;0.0;0.0;3.0;1.0;0.0;10
111055042693304;0.0;0.0;12.0;2.0;0.0;25
111055042940028;0.0;0.0;0.0;2.0;0.0;3
111055043149806;0.0;0.0;0.0;2.0;0.0;0
111055043158497;1.0;0.0;0.0;0.0;0.0;0
111055043400171;0.0;0.0;1.0;0.0;0.0;0
111055043460057;0.0;0.0;0.0;2.0;0.0;11
111055043598629;0.0;0.0;3.0;1.0;0.0;8
111055043742956;0.0;0.0;19.0;2.0;0.0;25
111055043961493;0.0;0.0;2.0;0.0;1.0;2
111055043983458;1.0;0.0;0.0;0.0;0.0;0
111055044143324;0.0;0.0;0.0;2.0;0.0;0
111055044242906;0.0;0.0;3.0;1.0;0.0;2
111055044331635;1.0;0.0;0.0;0.0;0.0;0
111055044345498;0.0;0.0;0.0;2.0;0.0;1
111055044355903;3.0;0.0;0.0;0.0;0.0;17
111055044361983;0.0;2.0;0.0;2.0;0.0;2
111055044392949;0.0;0.0;0.0;2.0;0.0;1
111055044600392;0.0;0.0;0.0;2.0;0.0;2
111055044779776;6.0;0.0;0.0;0.0;0.0;24
111055045145940;2.0;2.0;0.0;2.0;0.0;22
111055045253792;0.0;0.0;17.0;1.0;0.0;17
111055045470426;0.0;0.0;4.0;1.0;0.0;6
111055045595224;0.0;0.0;3.0;1.0;0.0;8
111055046072524;5.0;0.0;0.0;2.0;0.0;23
111055046226544;0.0;0.0;0.0;2.0;0.0;0
111055046382527;9.0;0.0;1.0;1.0;0.0;23
111055046434757;0.0;0.0;0.0;2.0;0.0;4
111055046591576;1.0;4.0;0.0;0.0;0.0;17
111055046890342;0.0;0.0;1.0;0.0;0.0;0
111055047030692;3.0;0.0;2.0;0.0;0.0;17
